3.000000 5.000000
3.000000 5.000000
4.000000 4.000000
2.000000 2.000000
3.000000 1.000000
4.000000 4.000000
1.000000 4.000000
1.000000 2.000000
5.000000 1.000000
5.000000 2.000000
4.000000 3.000000
3.000000 5.000000
2.000000 5.000000
5.000000 5.000000
4.000000 4.000000
2.000000 5.000000
3.000000 4.000000
4.000000 1.000000
1.000000 4.000000
3.000000 3.000000
5.000000 4.000000
5.000000 1.000000
2.000000 3.000000
1.000000 3.000000
2.000000 2.000000
3.000000 4.000000
5.000000 1.000000
2.000000 4.000000
2.000000 5.000000
4.000000 2.000000
2.000000 4.000000
3.000000 4.000000
1.000000 4.000000
2.000000 1.000000
1.000000 3.000000
1.000000 2.000000
4.000000 5.000000
3.000000 5.000000
2.000000 3.000000
4.000000 4.000000
3.000000 4.000000
5.000000 3.000000
1.000000 1.000000
5.000000 3.000000
5.000000 4.000000
4.000000 3.000000
5.000000 5.000000
2.000000 3.000000
5.000000 3.000000
3.000000 1.000000
3.000000 2.000000
5.000000 4.000000
2.000000 5.000000
5.000000 3.000000
5.000000 2.000000
3.000000 4.000000
2.000000 4.000000
5.000000 3.000000
2.000000 4.000000
1.000000 4.000000
5.000000 3.000000
5.000000 1.000000
2.000000 3.000000
5.000000 2.000000
4.000000 1.000000
4.000000 3.000000
1.000000 5.000000
1.000000 2.000000
3.000000 4.000000
2.000000 1.000000
3.000000 4.000000
1.000000 3.000000
2.000000 3.000000
1.000000 2.000000
3.000000 2.000000
5.000000 3.000000
5.000000 5.000000
3.000000 1.000000
1.000000 5.000000
3.000000 3.000000
1.000000 4.000000
2.000000 4.000000
3.000000 2.000000
5.000000 1.000000
3.000000 3.000000
4.000000 5.000000
3.000000 5.000000
2.000000 3.000000
4.000000 3.000000
5.000000 5.000000
5.000000 1.000000
2.000000 1.000000
2.000000 3.000000
5.000000 1.000000
3.000000 1.000000
3.000000 1.000000
3.000000 3.000000
2.000000 1.000000
5.000000 2.000000
2.000000 3.000000

2.000000 3.000000
4.134563 2.048772
5.000000 1.000000
2.789416 1.127601
